Block|Number|Year|Director|Action|Adventure|Animation|Biography|Comedy|Crime|Documentary|Drama|Family|Fantasy|History|Horror|Mystery|Romance|Sci-Fi|Thriller|War|Western|top200|FromTestData
1|2||Steven Spielberg||||||||1|||||||||1||1|
2|3||Steven Spielberg||1|||||||||||||||||1|
3|3||Clint Eastwood|||||||||||||||||||1|
4|1||Ron Howard||||1||||1|||||||||||1|
5|3||Joel Coen||||||1|||||||||||||1|
6|1||Ridley Scott|1|1||||||1|||||||||||1|
7|2||Ridley Scott|||||||||||||||1||||1|
8|5||Martin Scorsese||||||||1|||||||||||1|
9|3||James Cameron|1||||||||||||||1||||1|
10|1|2013||1|1|||||||||||||1|1|||1|
11|2|2012||1||||||||||||||||||1|
12|3|2012|||1|||||||||||||||||1|
13|2|2010|||1|1||1||||1|1|||||||||1|
14|1|2009|||1||||||1|||||||||1||1|
15|1|2008|||1|1||||||1|||||1|1||||1|
16|1|2007|||1||1||||1|||||||||||1|
17|1|2005||1|1||||1||1|||||||||||1|
18|1|2004||1|1|1||||||1|1||||1|||||1|
19|3|2013||1|1|||||||||||||1|||||
20|5|2012||1|1|||||||||||||||||0|
21|6|2012||1|||||1||||||||||1||||
22|3|2012||||1||||||1||||||||||0|
23|5|2012||||||1|||||||||1|||||0|
24|7|2012|||1||||||||1||||||||||
25|8|2012|||||||||1||||||||1|||0|
26|3|2012|||||||||||||1|1|||1|||0|
27|3|2012|||||||||1|||1||||||1||0|
28|2|2012|||||||||||||||||||1||
29|2|2013|||1|1||||||1||||||||||0|
30|5|2013||||||1||||||||||||||0|
31|4|2013||1|||||1|||||||||1||||0|
32|2|2013|||1||||||||1|1||||||||0|
33|2|2013|||||||||||||1|||1||||0|
34|3|2011|||||||||||||||||||1|0|
35|3|2011|||||||||1|||1||||||1||0|
36|5|2011||1|||||1||||||||||1|||0|
37|4|2011|||1|1||1||||1||||||||||0|
38|2|2011|||||||||||1||||1|||||0|
39|3|2011|||||||||||||1|1||||||0|
40|3|2011|||||||||1|||||||1|1|||0|
41|3|2010||1|1|||||||||||||1|||||
42|2|2010|||1|1||1||||1|1||||||||||
43|5|2010|||||||1||1||||||||1|||0|
44|2|2010|||||||||||||1|1|||1|||0|
45|2|2010|||||||||1|||||||||1||0|
46|3|2010|||||||||1||||||||||1|0|
47|1|2009|||||||||||||||||||1|0|
48|3|2009|||||||||1|||||||||1|||
49|5|2009|||||||||||||||||||||
50|4|2009|||||||1|||||||1|||1|||0|
51|3|2009||1|1||||||||1|||||1||||0|
52|2|2009||||||1|||1||||||1|||||0|
53|6|2009|||||||||||||1||||1|||0|
54|2|2009|||1|1||1||||1||||||||||0|
55|1|2008|||||1||||1|||1|1||||||1|0|
56|2|2008|||||||||1|||1|||1|||1||0|
57|3|2008|||||||||||||1|1|||1|||0|
58|3|2008||1||||||||||||||1||||0|
59|3|2008||||||1||||1|1|||||||||0|
60|3|2008|||1|||||||1|1|||||||||0|
61|4|2008||||1|||||||||||||||||
62|3|2007||||1||1||||1|1|||||||||0|
63|3|2007|||||||||1||||||||||1|0|
64|4|2007|||||||||1|||||||||1||0|
65|4|2007|||||||1||1|||||1|||1||||
66|4|2007||1|1|||||||||||||1||||0|
67|8|2007||||||1|||||||||1|||||0|
68|3|2007||||1||1||||1|1|||||||||0|
69|5|2007|||||||||||||1||||1|||0|
70|4|2006|||||||||||||1|1|||1|||0|
71|2|2006||1|||||||||||||||||1|0|
72|3|2006||||||||||||1||||||1||0|
73|4|2006|||||||||||||1|1|||1|||0|
74|4|2006||||||||||||||||1|1|||0|
75|8|2006|||||||||1||||||1|||||0|
76|4|2006|||||||||1||1||||||||||
77|5|2006||||||1||||1||||||||||0|
78|7|2006|||||||1||1||||||||1||||
79|2|2006||||1||||||||||||||||0|
80|4|2006||1|1|||||||||||||||||0|
81|3|2005|||||||||1|||1||||||1||0|
82|3|2005|||||||||||||1||||1|||0|
83|4|2005||1|1|||||||||||||1||||0|
84|3|2005||||||1|||||||||1|||||0|
85|7|2005||1|1||||||||||||||||||
86|2|2004|||1|1||||||1|||||||||||
87|4|2004||1|1||||||||||||||||||
88|2|2004|||||||||||||||||||1|0|
89|3|2004|||||1||||1|||1||||||1|||
90|5|2004||||||1|||||||||1|||||0|
91|6|2004|||||||1||||||||||1|||0|
92|4|2004|||1||||||||1||||||||||
93|4|2004|||||||||||||1|||||||0|
94|5|2004||||||||||||||1|||1||||
95|9||Steven Spielberg||||||||||||||||||||
96|8||Steven Spielberg||||||||||||||||||||
97|9||Clint Eastwood||||||||||||||||||||
98|8||Clint Eastwood||||||||||||||||||||
99|10||Steven Soderbergh||||||||||||||||||||
100|10||Steven Soderbergh||||||||||||||||||||
101|10||Ron Howard||||||||||||||||||||
102|9||Ron Howard||||||||||||||||||||
103|8||Joel Coen||||||||||||||||||||
104|7||Joel Coen||||||||||||||||||||
105|10||David Cronenberg||||||||||||||||||||
106|10||David Cronenberg||||||||||||||||||||
107|9||Ridley Scott||||||||||||||||||||
108|8||Ridley Scott||||||||||||||||||||
109|8||Martin Scorsese||||||||||||||||||||
110|7||Martin Scorsese||||||||||||||||||||
111|10||Oliver Stone||||||||||||||||||||
112|9||Oliver Stone||||||||||||||||||||
113|5||James Cameron||||||||||||||||||||
114|9||Kathryn Bigelow||||||||||||||||||||
115|5|2012||||||||||||||||||||1|
116|3|2011||||||||||||||||||||1|
117|5|2010||||||||||||||||||||1|
118|3|2009||||||||||||||||||||1|
119|4|2008||||||||||||||||||||1|
120|4|2007||||||||||||||||||||1|
121|4|2006||||||||||||||||||||1|
122|3|2005||||||||||||||||||||1|
123|6|2004||||||||||||||||||||1|
124|3|2003||||||||||||||||||||1|
125|6||||||||||1|||1||||||1||1|
126|7|||1|1|||||||||||||||||1|
127|5||||1||||||||||||||||1|1|
128|5|||||1||||||1||||||||||1|
129|6|||||||1|||1||||||1|||||1|
130|4||||1|||||||1|1|||||||||1|
131|4||||||||||||||1||||1|||1|
132|7||||||||1|||||||1|||1|||1|
133|4||||||||||||||1||||1|||1|
134|7|2011||||||||||||||||||||0|
135|7|2011||||||||||||||||||||0|1
136|10|2010||||||||||||||||||||0|1
137|8|2009||||||||||||||||||||0|1
138|4|2008||||||||||||||||||||0|1
139|6|2007||||||||||||||||||||0|1
140|5|2007||||||||||||||||||||0|1
141|7|2006||||||||||||||||||||0|1
142|2|2005|||1|||||||||||||||||0|1
143|3|2004||||||||||||||||||||0|1
144|5|2013||||||||||||||||||||0|
