Category|HITID|Attributes|Blocks
Popularity|1|top200="true" director="top10"|1,2,3,4,5,8,9
|2|top200="true" year="2008-2012"|115,116,117,118,119
|3|top200="true" year="2003-2007"|120,121,122,123,124
|4|top200="true"|125,127,128,131
|5|top200="true"|127,128,129,130
|6|top200="true"|126,132,133,124
|7|top200="true"|8,115,123,130
|8|top200="true"|126,129,123,6
|9|top200="true"|132,129,115,122
|10|top200="true"|125,117,123,9
Director|11|Steven Spielberg|2,95,96
|12|Clint Eastwood|3,97,98
|13|David Cronenberg|105,106
|14|James Cameron+Kathryn Bigelow|9,113,114,5
|15|Joel Coen|5,103,104,1
|16|Ron Howard|4,101,102
|17|Martin Scorsese|8,109,110
|18|Oliver Stone|111,112,4
|19|Ridley Scott|6,7,107,108
|20|Steven Soderbergh|99,100
Genre|21|Action|135,136,137,138,140,141,142
|22|Adventure|135,136,137,138,140,141,142
|23|Animation|22,37,42,54,128,61
|24|Comedy|30,37,77,129
|25|Crime|31,43,50,132
|26|Drama|27,43,63,89,125
|27|Horror|33,39,53,69,131
|28|Romance|15,23,84,90,129
|29|Sci-Fi|7,31,41,51,74,83
|30|War|27,35,56,64,81,125
Year|31|2013|10,19,29,30,31,32,33,99,100,144
|32|2012|11,12,20,21,22,24,27,28
|33|2011|34,35,36,37,38,135
|34|2010|41,43,46,136
|35|2009|47,49,50,51,53,54,137
|36|2008|3,15,55,56,57,58,59,60,61,119,138
|37|2007|62,63,65,66,69,139,140
|38|2006|8,70,71,74,75,77,78,80,141
|39|2005|17,81,82,83,84,85,96,122,142
|40|2004|3,18,86,87,88,89,90,93,94,123,143
Random|41|random|136,137,138,139,141,143
|42|random|135,137,139,140,141
|43|random|13,27,41,53,95,117
|44|random|29,30,66,69,72,77,98
|45|random|4,8,51,76,105,113,121
|46|random|5,46,62,66,91,104,112
|47|random|91,100,106
|48|random|25,57,59,60,110,114,138
|49|random|2,9,75,81,83,107,125,126
|50|random|5,16,17,41,81,83,85,120,136
