hitid|movieid
1|112
1|449
1|131
1|283
1|420
1|258
1|216
1|259
1|231
1|130
1|70
1|22
1|163
1|349
1|317
1|174
1|318
1|3
1|330
1|279
2|161
2|459
2|10
2|328
2|296
2|346
2|380
2|369
2|55
2|413
2|209
2|455
2|196
2|150
2|164
2|94
2|131
2|382
2|438
2|347
3|450
3|244
3|406
3|167
3|186
3|148
3|392
3|349
3|46
3|107
3|151
3|116
3|332
3|96
3|216
3|231
3|395
3|295
3|400
3|431
4|359
4|423
4|94
4|63
4|421
4|255
4|405
4|88
4|361
4|116
4|437
4|355
4|192
4|304
4|222
4|363
4|174
4|238
4|391
4|283
5|304
5|238
5|232
5|49
5|429
5|421
5|174
5|163
5|355
5|401
5|394
5|437
5|88
5|361
5|407
5|94
5|423
5|255
5|359
5|22
6|49
6|163
6|88
6|186
6|421
6|255
6|232
6|394
6|93
6|75
6|284
6|355
6|116
6|191
6|425
6|401
6|174
6|22
6|331
6|395
7|369
7|196
7|328
7|70
7|429
7|304
7|347
7|258
7|400
7|216
7|107
7|407
7|130
7|151
7|148
7|317
7|437
7|94
7|96
7|349
8|232
8|401
8|148
8|400
8|195
8|362
8|216
8|107
8|88
8|77
8|49
8|325
8|96
8|22
8|133
8|151
8|32
8|394
8|163
8|128
9|133
9|46
9|450
9|328
9|75
9|284
9|295
9|369
9|362
9|331
9|325
9|425
9|196
9|195
9|191
9|94
9|232
9|77
9|32
9|347
10|96
10|150
10|438
10|420
10|88
10|192
10|55
10|161
10|151
10|283
10|148
10|405
10|22
10|216
10|63
10|382
10|363
10|400
10|107
10|318
11|198
11|456
11|320
11|162
11|220
11|457
11|419
11|71
11|217
11|13
11|279
11|29
11|397
11|283
11|182
11|147
11|25
11|163
11|103
11|342
12|173
12|143
12|169
12|131
12|74
12|194
12|117
12|216
12|223
12|58
12|302
12|441
12|214
12|16
12|334
12|9
12|449
12|412
12|462
12|52
13|203
13|108
13|98
13|8
13|432
13|348
13|90
13|84
13|224
13|310
13|303
13|451
13|81
13|281
13|336
13|83
13|357
13|113
13|257
13|4
14|319
14|433
14|41
14|231
14|226
14|253
14|22
14|420
14|250
14|427
14|184
14|398
14|330
14|376
14|312
14|318
14|59
14|443
14|471
14|112
15|165
15|57
15|45
15|283
15|399
15|372
15|11
15|330
15|168
15|260
15|233
15|442
15|112
15|231
15|330
15|231
15|384
15|67
15|215
15|279
16|134
16|111
16|101
16|30
16|404
16|351
16|78
16|76
16|149
16|305
16|262
16|464
16|36
16|245
16|345
16|42
16|402
16|121
16|228
16|3
17|124
17|65
17|19
17|70
17|381
17|329
17|17
17|258
17|152
17|291
17|227
17|389
17|130
17|212
17|321
17|317
17|341
17|68
17|189
17|349
18|316
18|230
18|176
18|18
18|352
18|33
18|142
18|454
18|453
18|276
18|225
18|444
18|278
18|285
18|452
18|252
18|466
18|61
18|3
18|365
19|193
19|54
19|26
19|20
19|210
19|56
19|6
19|430
19|354
19|123
19|53
19|268
19|136
19|188
19|300
19|60
19|463
19|1
19|128
19|254
20|292
20|205
20|132
20|66
20|299
20|80
20|122
20|439
20|390
20|235
20|141
20|360
20|236
20|241
20|378
20|234
20|446
20|105
20|48
20|358
21|146
21|327
21|309
21|177
21|43
21|39
21|44
21|417
21|447
21|385
21|460
21|394
21|264
21|69
21|313
21|119
21|266
21|256
21|273
21|290
22|85
22|415
22|324
22|240
22|306
22|50
22|350
22|340
22|139
22|229
22|424
22|35
22|467
22|269
22|265
22|426
22|73
22|140
22|172
22|435
23|190
23|470
23|437
23|455
23|178
23|438
23|222
23|137
23|393
23|157
23|158
23|261
23|116
23|391
23|150
23|267
23|197
23|51
23|251
23|304
24|156
24|344
24|32
24|155
24|267
24|178
24|325
24|138
24|367
24|211
24|445
24|190
24|195
24|133
24|261
24|458
24|7
24|77
24|414
24|362
25|100
25|461
25|232
25|288
25|102
25|403
25|425
25|379
25|388
25|274
25|93
25|153
25|75
25|191
25|422
25|125
25|5
25|331
25|159
25|284
26|102
26|198
26|363
26|96
26|153
26|422
26|405
26|326
26|79
26|148
26|18
26|403
26|88
26|63
26|2
26|100
26|160
26|283
26|218
26|192
27|338
27|408
27|174
27|266
27|350
27|221
27|355
27|436
27|14
27|269
27|448
27|371
27|421
27|280
27|91
27|115
27|21
27|62
27|249
27|255
28|175
28|37
28|356
28|219
28|213
28|271
28|239
28|195
28|32
28|293
28|183
28|133
28|465
28|99
28|362
28|270
28|325
28|129
28|455
28|77
29|467
29|161
29|125
29|56
29|23
29|461
29|388
29|308
29|286
29|447
29|265
29|383
29|41
29|314
29|309
29|171
29|12
29|5
29|20
29|370
30|428
30|40
30|248
30|160
30|301
30|79
30|335
30|88
30|363
30|38
30|247
30|63
30|343
30|188
30|192
30|375
30|405
30|411
30|198
30|283
31|104
31|307
31|237
31|388
31|7
31|458
31|246
31|461
31|21
31|125
31|242
31|367
31|292
31|206
31|156
31|344
31|172
31|408
31|5
31|48
32|207
32|347
32|160
32|179
32|239
32|197
32|89
32|196
32|126
32|374
32|323
32|470
32|79
32|418
32|393
32|275
32|201
32|298
32|369
32|198
33|335
33|34
33|69
33|267
33|248
33|289
33|424
33|353
33|468
33|190
33|178
33|114
33|313
33|39
33|410
33|411
33|261
33|297
33|364
33|264
34|102
34|265
34|240
34|311
34|153
34|422
34|435
34|442
34|171
34|469
34|106
34|403
34|426
34|385
34|180
34|100
34|161
34|327
34|135
34|119
35|274
35|243
35|204
35|91
35|447
35|314
35|306
35|371
35|159
35|436
35|249
35|41
35|95
35|251
35|350
35|288
35|379
35|137
35|221
35|28
36|339
36|386
36|131
36|158
36|64
36|170
36|256
36|229
36|40
36|340
36|416
36|92
36|296
36|157
36|51
36|120
36|247
36|455
36|47
36|346
37|326
37|263
37|127
37|62
37|218
37|269
37|415
37|266
37|434
37|280
37|118
37|146
37|277
37|82
37|440
37|2
37|24
37|333
37|448
37|294
38|370
38|44
38|87
38|349
38|383
38|414
38|35
38|211
38|467
38|396
38|272
38|138
38|31
38|202
38|155
38|23
38|409
38|166
38|445
38|387
39|86
39|188
39|295
39|37
39|315
39|286
39|139
39|12
39|301
39|270
39|46
39|309
39|450
39|220
39|308
39|145
39|428
39|187
39|183
39|457
40|96
40|151
40|107
40|213
40|148
40|293
40|72
40|99
40|322
40|400
40|109
40|18
40|216
40|377
40|465
40|144
40|287
40|154
40|175
40|185
41|311
41|118
41|377
41|274
41|202
41|72
41|469
41|28
41|181
41|199
41|402
41|64
41|333
41|368
41|97
41|27
41|106
41|82
41|294
41|465
42|282
42|436
42|387
42|204
42|178
42|127
42|87
42|31
42|208
42|261
42|366
42|15
42|373
42|200
42|95
42|110
42|337
42|190
42|297
42|277
43|162
43|25
43|249
43|371
43|182
43|221
43|436
43|438
43|55
43|71
43|13
43|382
43|103
43|147
43|161
43|29
43|150
43|91
43|350
43|198
44|194
44|448
44|266
44|7
44|214
44|367
44|156
44|441
44|412
44|280
44|269
44|302
44|138
44|155
44|334
44|62
44|462
44|458
44|344
44|223
45|433
45|98
45|84
45|4
45|443
45|8
45|83
45|406
45|392
45|113
45|90
45|250
45|203
45|41
45|349
45|108
45|244
45|81
45|3
45|319
46|316
46|372
46|260
46|269
46|352
46|440
46|233
46|454
46|453
46|399
46|330
46|444
46|442
46|285
46|452
46|384
46|466
46|434
46|146
46|365
47|281
47|390
47|360
47|241
47|303
47|292
47|358
47|432
47|357
47|446
47|378
47|336
47|224
47|257
47|348
47|439
47|451
47|299
47|236
47|310
48|253
48|471
48|381
48|291
48|59
48|321
48|341
48|340
48|256
48|184
48|389
48|398
48|427
48|312
48|64
48|376
48|229
48|329
48|227
48|226
49|188
49|53
49|6
49|286
49|401
49|308
49|1
49|22
49|163
49|60
49|26
49|232
49|123
49|136
49|88
49|54
49|49
49|12
49|309
49|394
50|469
50|431
50|308
50|309
50|106
50|46
50|286
50|265
50|240
50|332
50|12
50|385
50|231
50|311
50|119
50|167
50|426
50|187
50|188
50|327
