movieid|Title|Year|Rated|Released|Runtime|Director|Writer|Actors|Poster|imdbRating|imdbVotes|imdbID|Action|Adventure|Animation|Biography|Comedy|Crime|Documentary|Drama|Family|Fantasy|History|Horror|Mystery|Romance|Sci-Fi|Thriller|War|Western
1|1492: Conquest of Paradise|1992|PG-13|33886|2 h 34 min|Ridley Scott|Rose Bosch|Gérard Depardieu, Armand Assante, Sigourney Weaver, Loren Dean|http://ia.media-imdb.com/images/M/MV5BMTIyNzQ3MzQ4NF5BMl5BanBnXkFtZTcwMDgzMTQyMQ@@._V1_SX300.jpg|6.3|16304|tt0103594|0|1|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0
2|3:10 to Yuma|2007|R|39332|2 h 2 min|James Mangold|Halsted Welles, Michael Brandt|Russell Crowe, Christian Bale, Ben Foster, Logan Lerman|http://ia.media-imdb.com/images/M/MV5BODE0NTcxNTQzNF5BMl5BanBnXkFtZTcwMzczOTIzMw@@._V1_SX300.jpg|7.8|167530|tt0381849|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|1
3|A Beautiful Mind|2001|PG-13|37260|2 h 15 min|Ron Howard|Akiva Goldsman, Sylvia Nasar|Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer|http://ia.media-imdb.com/images/M/MV5BMTQ4MDI2MzkwMl5BMl5BanBnXkFtZTYwMjk0NTA5._V1_SX300.jpg|8.1|311692|tt0268978|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0
4|A Dangerous Method|2011|R|40816|1 h 39 min|David Cronenberg|Christopher Hampton, Christopher Hampton|Michael Fassbender, Keira Knightley, Viggo Mortensen, Vincent Cassel|http://ia.media-imdb.com/images/M/MV5BMTU5Mjk3NjgxMl5BMl5BanBnXkFtZTcwMDM5MjA5Ng@@._V1_SX300.jpg|6.5|52076|tt1571222|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|1|0|0
5|A Good Day to Die Hard|2013|R|41319|1 h 38 min|John Moore|Skip Woods, Roderick Thorp|Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead|http://ia.media-imdb.com/images/M/MV5BMTcwNzgyNzUzOV5BMl5BanBnXkFtZTcwMzAwOTA5OA@@._V1_SX300.jpg|5.4|70851|tt1606378|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
6|A Good Year|2006|PG-13|39031|1 h 57 min|Ridley Scott|Marc Klein, Peter Mayle|Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard|http://ia.media-imdb.com/images/M/MV5BODE4NDY3MjUxNV5BMl5BanBnXkFtZTYwMTMwODI3._V1_SX300.jpg|6.8|47828|tt0401445|0|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0
7|A Haunted House|2013|R|41285|1 h 26 min|Michael Tiddes|Marlon Wayans, Rick Alvarez|Marlon Wayans, Essence Atkins, Marlene Forte, David Koechner|http://ia.media-imdb.com/images/M/MV5BMTM1ODgyOTI0NF5BMl5BanBnXkFtZTcwODgyMDY3OA@@._V1_SX300.jpg|4.8|12332|tt2243537|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0
8|A History of Violence|2005|R|38625|1 h 36 min|David Cronenberg|John Wagner, Vince Locke|Viggo Mortensen, Maria Bello, Ed Harris, William Hurt|http://ia.media-imdb.com/images/M/MV5BMTczMzIzMTQ1OV5BMl5BanBnXkFtZTYwMDQwNjk2._V1_SX300.jpg|7.5|137746|tt0399146|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|0
9|A Perfect World|1993|PG-13|34297|2 h 18 min|Clint Eastwood|John Lee Hancock|Kevin Costner, Clint Eastwood, Laura Dern, T.J. Lowther|http://ia.media-imdb.com/images/M/MV5BMjAxMDExODExOV5BMl5BanBnXkFtZTcwMTI3MTcxMQ@@._V1_SX300.jpg|7.4|41142|tt0107808|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|0
10|A Separation|2011|PG-13|40618|2 h 3 min|Asghar Farhadi|Asghar Farhadi|Peyman Moaadi, Leila Hatami, Sareh Bayat, Shahab Hosseini|http://ia.media-imdb.com/images/M/MV5BMTYzMzU4NDUwOF5BMl5BanBnXkFtZTcwMTM5MjA5Ng@@._V1_SX300.jpg|8.5|85342|tt1832382|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
11|A Serious Man|2009|R|40095|1 h 46 min|Ethan Coen, Joel Coen|Joel Coen, Ethan Coen|Michael Stuhlbarg, Richard Kind, Sari Lennick, Fred Melamed|http://ia.media-imdb.com/images/M/MV5BMjAwODUxMjA0M15BMl5BanBnXkFtZTcwNjIyMzY3Mg@@._V1_SX300.jpg|7|68542|tt1019452|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0
12|A Sound of Thunder|2005|PG-13|38597|1 h 50 min|Peter Hyams|Ray Bradbury, Thomas Dean Donnelly|Edward Burns, Ben Kingsley, Catherine McCormack, Armin Rohde|http://ia.media-imdb.com/images/M/MV5BMjEwOTU0NTg1OF5BMl5BanBnXkFtZTcwNTgyNTUzMQ@@._V1_SX300.jpg|4.1|13119|tt0318081|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0
13|A.I. Artificial Intelligence|2001|PG-13|37071|2 h 26 min|Steven Spielberg|Brian Aldiss, Ian Watson|Haley Joel Osment, Jude Law, Frances O'Connor, Sam Robards|http://ia.media-imdb.com/images/M/MV5BMTMwNDI0NjU1NF5BMl5BanBnXkFtZTcwNTcwOTI3MQ@@._V1_SX300.jpg|7|167225|tt0212720|0|1|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0
14|Absentia|2011|R|41375|1 h 27 min|Mike Flanagan|Mike Flanagan|Katie Parker, Courtney Bell, Dave Levine, Morgan Peter Brown|http://ia.media-imdb.com/images/M/MV5BMjE0MDUyODg1MF5BMl5BanBnXkFtZTcwOTgyMzA2Nw@@._V1_SX300.jpg|5.6|5879|tt1610996|0|0|0|0|0|0|0|1|0|0|0|1|1|0|0|0|0|0
