movieid|average_rank|frequency|imdb_rating|imdb_votes|rank_of_average_rank|rank_of_frequency|rank_of_imdb_rating|rank_of_imdb_votes|bucket_rank
1|9.384615384615385|13.0|6.3|16304.0|431.0|397.0|325.5|356.0|10.0
2|4.329896907216495|97.0|7.8|167530.0|90.0|125.0|112.5|117.0|2.0
3|4.703007518796992|266.0|8.1|311692.0|119.0|25.0|85.0|45.0|3.0
4|6.068181818181818|44.0|6.5|52076.0|260.0|245.0|295.5|253.0|6.0
5|5.676056338028169|142.0|5.4|70851.0|213.0|80.5|407.5|211.0|5.0
6|7.4375|16.0|6.8|47828.0|361.0|374.0|246.5|262.0|8.0
7|7.435897435897436|39.0|4.8|12332.0|360.0|261.5|434.0|370.0|8.0
8|3.8255813953488373|86.0|7.5|137746.0|45.0|138.5|155.5|140.0|1.0
9|7.346153846153846|26.0|7.4|41142.0|353.0|309.0|166.5|278.0|8.0
10|11.444444444444445|9.0|8.5|85342.0|451.0|422.0|25.5|191.0|10.0
11|8.0|11.0|7.0|68542.0|386.0|407.5|222.0|218.0|9.0
12|11.529411764705882|17.0|4.1|13119.0|452.0|368.0|451.5|368.0|10.0
13|7.035398230088496|113.0|7.0|167225.0|335.0|107.0|222.0|118.0|8.0
14|9.0|4.0|5.6|5879.0|417.5|458.5|395.5|406.0|9.0
15|7.0|6.0|4.2|2252.0|334.0|445.5|449.0|437.0|8.0
16|8.521739130434783|23.0|6.6|28744.0|402.0|328.5|276.5|314.0|9.0
17|12.555555555555555|9.0|7.6|25832.0|458.0|422.0|141.0|323.0|10.0
18|6.126315789473685|95.0|5.4|100746.0|265.0|128.5|407.5|174.0|6.0
19|8.692307692307692|13.0|7.4|10789.0|406.0|397.0|166.5|375.0|9.0
20|3.880281690140845|142.0|8.5|331868.0|50.0|80.5|25.5|40.0|2.0
21|14.0|8.0|2.2|73.0|464.5|430.5|471.0|467.5|10.0
22|6.56858407079646|452.0|8.5|300352.0|303.0|2.0|25.5|49.0|7.0
23|8.909090909090908|11.0|5.6|6573.0|414.0|407.5|395.5|399.0|9.0
24|5.618181818181818|55.0|5.2|36700.0|206.0|207.5|415.0|295.0|5.0
25|8.73076923076923|26.0|6.2|16345.0|408.0|309.0|339.0|355.0|9.0
26|4.8478260869565215|92.0|7.8|224391.0|135.0|131.0|112.5|81.0|3.0
27|3.1714285714285713|35.0|7.5|33531.0|20.0|277.5|155.5|301.0|1.0
28|5.96|25.0|4.2|4775.0|248.0|313.5|449.0|414.0|6.0
29|6.733333333333333|45.0|7.1|39915.0|320.5|240.5|206.0|285.0|7.0
30|6.1395348837209305|43.0|6.6|132313.0|267.0|249.5|276.5|147.0|6.0
31|5.204545454545454|44.0|5.4|13759.0|177.0|245.0|407.5|364.0|4.0
32|5.43298969072165|97.0|8.2|116913.0|196.0|125.0|65.0|158.0|5.0
33|4.853658536585366|41.0|6.7|74961.0|137.0|254.0|261.0|204.0|3.0
34|10.2|5.0|2.8|33.0|442.0|452.5|468.0|471.0|10.0
35|4.304878048780488|82.0|7.8|168849.0|86.0|150.5|112.5|114.0|2.0
36|3.219178082191781|73.0|7.5|143517.0|21.0|170.0|155.5|131.0|1.0
37|5.7272727272727275|88.0|4.3|15101.0|218.0|136.0|446.0|359.0|5.0
38|3.787878787878788|33.0|7.8|133808.0|43.0|283.5|112.5|144.0|1.0
39|5.137931034482759|29.0|6.6|56630.0|170.0|292.5|276.5|240.0|4.0
40|5.3428571428571425|35.0|6.6|75256.0|187.0|277.5|276.5|201.0|4.0
41|3.902857142857143|350.0|8.0|569577.0|53.0|10.0|97.5|8.0|2.0
42|5.945945945945946|37.0|6.6|42926.0|247.0|267.5|276.5|275.0|6.0
43|8.352941176470589|17.0|5.6|6851.0|395.0|368.0|395.5|396.0|9.0
44|6.695652173913044|23.0|5.6|20859.0|314.0|328.5|395.5|337.0|7.0
45|9.3|10.0|7.7|59461.0|428.0|413.5|124.5|236.0|10.0
46|3.8855421686746987|332.0|8.3|555722.0|51.0|13.0|48.0|9.0|2.0
47|7.35|20.0|6.0|48584.0|354.0|345.0|362.0|260.0|8.0
48|4.958333333333333|24.0|7.0|2961.0|141.0|321.5|222.0|430.0|3.0
49|8.480519480519481|77.0|8.1|98657.0|400.0|163.0|85.0|177.0|9.0
50|4.846153846153846|13.0|6.2|16477.0|134.0|397.0|339.0|353.0|3.0
51|8.235294117647058|34.0|6.5|18548.0|392.0|281.0|295.5|348.0|9.0
52|8.75|12.0|7.1|6491.0|410.0|403.5|206.0|400.0|9.0
53|4.534351145038168|131.0|7.7|191701.0|104.0|94.5|124.5|98.0|3.0
54|9.625|24.0|6.5|28526.0|436.0|321.5|295.5|315.0|10.0
55|5.24375|160.0|8.1|343313.0|181.0|60.5|85.0|37.0|4.0
56|3.28125|96.0|8.3|302995.0|24.0|127.0|48.0|48.0|1.0
57|4.875|8.0|7.7|47099.0|138.0|430.5|124.5|263.0|3.0
58|8.0|18.0|6.3|25491.0|386.0|359.5|325.5|324.0|9.0
59|10.954545454545455|22.0|5.5|6700.0|448.0|333.0|401.5|398.0|10.0
60|6.837837837837838|37.0|7.1|117724.0|326.0|267.5|206.0|157.0|7.0
61|4.818181818181818|33.0|7.1|52640.0|133.0|283.5|206.0|251.0|3.0
62|8.714285714285714|7.0|5.7|4385.0|407.0|438.0|389.0|418.0|9.0
63|4.237179487179487|312.0|8.4|445466.0|79.0|16.0|37.5|19.0|2.0
64|8.357142857142858|14.0|4.3|1975.0|396.0|388.0|446.0|439.0|9.0
65|8.866666666666667|15.0|6.8|41892.0|412.0|380.5|246.5|276.0|9.0
66|6.166666666666667|6.0|6.6|5627.0|271.0|445.5|276.5|408.0|6.0
67|6.115384615384615|26.0|7.0|169646.0|262.0|309.0|222.0|113.0|6.0
68|6.8|35.0|7.3|88385.0|323.0|277.5|180.0|187.0|7.0
69|3.0930232558139537|129.0|6.8|223930.0|15.0|99.5|246.5|82.0|1.0
70|6.431506849315069|146.0|8.2|199729.0|289.0|75.5|65.0|94.0|7.0
71|4.680555555555555|144.0|7.9|281943.0|117.0|78.0|105.0|57.0|3.0
72|5.733333333333333|30.0|4.9|5748.0|220.0|289.5|428.5|407.0|5.0
73|6.066666666666666|15.0|5.1|32354.0|259.0|380.5|419.5|304.0|6.0
74|4.725|40.0|7.8|141411.0|123.0|257.5|112.5|135.0|3.0
75|5.91044776119403|67.0|8.4|136155.0|245.0|181.5|37.5|142.0|6.0
76|3.9722222222222223|36.0|7.9|106368.0|56.0|273.0|105.0|167.0|2.0
77|6.822222222222222|45.0|8.6|57282.0|324.0|240.5|15.5|239.0|7.0
78|5.487179487179487|39.0|6.6|31393.0|202.0|261.5|276.5|310.0|5.0
79|11.8|10.0|7.6|39529.0|455.0|413.5|141.0|286.0|10.0
80|3.980769230769231|52.0|6.7|127118.0|58.0|216.0|261.0|149.0|2.0
81|7.170212765957447|47.0|5.1|24403.0|348.0|232.5|419.5|327.0|8.0
82|7.857142857142857|21.0|4.1|2550.0|378.0|338.5|451.5|434.0|8.0
83|3.43801652892562|121.0|7.9|271987.0|30.0|104.0|105.0|64.0|1.0
84|7.857142857142857|14.0|5.2|730.0|378.0|388.0|415.0|453.0|8.0
85|6.714285714285714|28.0|3.0|27898.0|316.0|297.0|467.0|318.0|7.0
86|7.538461538461538|13.0|4.9|20447.0|366.5|397.0|428.5|338.0|8.0
87|6.545454545454546|11.0|5.6|2482.0|300.0|407.5|395.5|435.0|7.0
88|7.8|150.0|8.4|109986.0|374.0|71.5|37.5|166.0|8.0
