movieid|average_score|rank_of_average_score|average_rank|frequency|rank_of_frequency|votes|rank_of_votes
1|6.3|325.5|9.384615384615385|13.0|397.0|16304.0|356.0
2|7.8|112.5|4.329896907216495|97.0|125.0|167530.0|117.0
3|8.1|85.0|4.703007518796992|266.0|25.0|311692.0|45.0
4|6.5|295.5|6.068181818181818|44.0|245.0|52076.0|253.0
5|5.4|407.5|5.676056338028169|142.0|80.5|70851.0|211.0
6|6.8|246.5|7.4375|16.0|374.0|47828.0|262.0
7|4.8|434.0|7.435897435897436|39.0|261.5|12332.0|370.0
8|7.5|155.5|3.8255813953488373|86.0|138.5|137746.0|140.0
9|7.4|166.5|7.346153846153846|26.0|309.0|41142.0|278.0
10|8.5|25.5|11.444444444444445|9.0|422.0|85342.0|191.0
11|7.0|222.0|8.0|11.0|407.5|68542.0|218.0
12|4.1|451.5|11.529411764705882|17.0|368.0|13119.0|368.0
13|7.0|222.0|7.035398230088496|113.0|107.0|167225.0|118.0
14|5.6|395.5|9.0|4.0|458.5|5879.0|406.0
15|4.2|449.0|7.0|6.0|445.5|2252.0|437.0
16|6.6|276.5|8.521739130434783|23.0|328.5|28744.0|314.0
17|7.6|141.0|12.555555555555555|9.0|422.0|25832.0|323.0
18|5.4|407.5|6.126315789473685|95.0|128.5|100746.0|174.0
19|7.4|166.5|8.692307692307692|13.0|397.0|10789.0|375.0
20|8.5|25.5|3.880281690140845|142.0|80.5|331868.0|40.0
21|2.2|471.0|14.0|8.0|430.5|73.0|467.5
22|8.5|25.5|6.56858407079646|452.0|2.0|300352.0|49.0
23|5.6|395.5|8.909090909090908|11.0|407.5|6573.0|399.0
24|5.2|415.0|5.618181818181818|55.0|207.5|36700.0|295.0
25|6.2|339.0|8.73076923076923|26.0|309.0|16345.0|355.0
26|7.8|112.5|4.8478260869565215|92.0|131.0|224391.0|81.0
27|7.5|155.5|3.1714285714285713|35.0|277.5|33531.0|301.0
28|4.2|449.0|5.96|25.0|313.5|4775.0|414.0
29|7.1|206.0|6.733333333333333|45.0|240.5|39915.0|285.0
30|6.6|276.5|6.1395348837209305|43.0|249.5|132313.0|147.0
31|5.4|407.5|5.204545454545454|44.0|245.0|13759.0|364.0
32|8.2|65.0|5.43298969072165|97.0|125.0|116913.0|158.0
33|6.7|261.0|4.853658536585366|41.0|254.0|74961.0|204.0
34|2.8|468.0|10.2|5.0|452.5|33.0|471.0
35|7.8|112.5|4.304878048780488|82.0|150.5|168849.0|114.0
36|7.5|155.5|3.219178082191781|73.0|170.0|143517.0|131.0
37|4.3|446.0|5.7272727272727275|88.0|136.0|15101.0|359.0
38|7.8|112.5|3.787878787878788|33.0|283.5|133808.0|144.0
39|6.6|276.5|5.137931034482759|29.0|292.5|56630.0|240.0
40|6.6|276.5|5.3428571428571425|35.0|277.5|75256.0|201.0
41|8.0|97.5|3.902857142857143|350.0|10.0|569577.0|8.0
42|6.6|276.5|5.945945945945946|37.0|267.5|42926.0|275.0
43|5.6|395.5|8.352941176470589|17.0|368.0|6851.0|396.0
44|5.6|395.5|6.695652173913044|23.0|328.5|20859.0|337.0
45|7.7|124.5|9.3|10.0|413.5|59461.0|236.0
46|8.3|48.0|3.8855421686746987|332.0|13.0|555722.0|9.0
47|6.0|362.0|7.35|20.0|345.0|48584.0|260.0
48|7.0|222.0|4.958333333333333|24.0|321.5|2961.0|430.0
49|8.1|85.0|8.480519480519481|77.0|163.0|98657.0|177.0
