workerid|MTurkWorkerID|LinkToPage|NumberOfHITs|gender|age|education|frequency
1|A10B7OQ3GMIFD3|https://requester.mturk.com/workers/A10B7OQ3GMIFD3|10|female|51|5|4
2|A10GZ0SWBZIRBK|https://requester.mturk.com/workers/A10GZ0SWBZIRBK|15|male|25|3|3
3|A113YQIJ16QMER|https://requester.mturk.com/workers/A113YQIJ16QMER|8|male|27|5|2
4|A1153ZIEQX0ZJ8|https://requester.mturk.com/workers/A1153ZIEQX0ZJ8|7|male|23|3|3
5|A1159C6RKPZURE|https://requester.mturk.com/workers/A1159C6RKPZURE|16|male|28|3|2
6|A11N2H7QSSS8VU|https://requester.mturk.com/workers/A11N2H7QSSS8VU|12|female|55|6|4
7|A11NPNK8885N99|https://requester.mturk.com/workers/A11NPNK8885N99|30|male|27|5|3
8|A12DXWDNOBY503|https://requester.mturk.com/workers/A12DXWDNOBY503|3|male|20|3|4
9|A12SMSQ6D5227J|https://requester.mturk.com/workers/A12SMSQ6D5227J|29|female|31|5|3
10|A13CO3B2BRXQLZ|https://requester.mturk.com/workers/A13CO3B2BRXQLZ|1|male|27|5|4
11|A13E3C65NKK51I|https://requester.mturk.com/workers/A13E3C65NKK51I|14|male|23|5|3
12|A13JQIAK0MAF3B|https://requester.mturk.com/workers/A13JQIAK0MAF3B|8|male|35|2|2
13|A13VIJ7G997ZCY|https://requester.mturk.com/workers/A13VIJ7G997ZCY|6|female|29|3|4
14|A13WSYKUN4EAHW|https://requester.mturk.com/workers/A13WSYKUN4EAHW|24|female|28|3|2
15|A147F5PJTHOB8A|https://requester.mturk.com/workers/A147F5PJTHOB8A|17|male|36|4|2
16|A149ROBL26JWPJ|https://requester.mturk.com/workers/A149ROBL26JWPJ|1|male|23|5|4
17|A14W79OV7SNWIV|https://requester.mturk.com/workers/A14W79OV7SNWIV|6|male|25|3|2
18|A15E4I3BZKHNUV|https://requester.mturk.com/workers/A15E4I3BZKHNUV|2|male|27|5|3
19|A15EZJS1DROADE|https://requester.mturk.com/workers/A15EZJS1DROADE|18|male|23|2|2
20|A15LFIRQ542D1T|https://requester.mturk.com/workers/A15LFIRQ542D1T|1|female|25|5|4
21|A15NH461BKAYCX|https://requester.mturk.com/workers/A15NH461BKAYCX|6|male|30|3|3
22|A166A2M31CW2C7|https://requester.mturk.com/workers/A166A2M31CW2C7|15|male|25|2|4
23|A16M1ZUX9RIQKO|https://requester.mturk.com/workers/A16M1ZUX9RIQKO|6|female|47|3|3
24|A16S0KKQ2MIZHT|https://requester.mturk.com/workers/A16S0KKQ2MIZHT|1|male|32|3|3
25|A175AT91CE9J73|https://requester.mturk.com/workers/A175AT91CE9J73|15|female|40|5|3
26|A1835XBNR2UB4X|https://requester.mturk.com/workers/A1835XBNR2UB4X|9|male|26|5|3
27|A18AIG4L4EEO11|https://requester.mturk.com/workers/A18AIG4L4EEO11|16|female|35|5|4
28|A18G2CLYSTENK|https://requester.mturk.com/workers/A18G2CLYSTENK|15|male|24|3|1
29|A18TXM6GMU1411|https://requester.mturk.com/workers/A18TXM6GMU1411|44|male|19|3|3
30|A193YDFH1CD4JX|https://requester.mturk.com/workers/A193YDFH1CD4JX|4|male|21|3|3
31|A19FBVG4VUDBHN|https://requester.mturk.com/workers/A19FBVG4VUDBHN|6|male|30|5|1
32|A19R04IXWA4ZLX|https://requester.mturk.com/workers/A19R04IXWA4ZLX|1|male|33|2|1
33|A1A8A4W7MZFOV6|https://requester.mturk.com/workers/A1A8A4W7MZFOV6|14|female|33|5|3
34|A1AQ2YEDWRXB2E|https://requester.mturk.com/workers/A1AQ2YEDWRXB2E|23|female|23|5|3
35|A1BDZFVHI4LH44|https://requester.mturk.com/workers/A1BDZFVHI4LH44|12|male|22|3|2
36|A1BNQ6H4SJZ2X5|https://requester.mturk.com/workers/A1BNQ6H4SJZ2X5|3|male|33|5|4
37|A1BSOOHNHX51RI|https://requester.mturk.com/workers/A1BSOOHNHX51RI|18|female|27|3|4
38|A1BX3MW9DFD4F2|https://requester.mturk.com/workers/A1BX3MW9DFD4F2|6|male|21|3|4
39|A1BXEU20OCUGVZ|https://requester.mturk.com/workers/A1BXEU20OCUGVZ|29|female|24|3|2
40|A1CE3DR200PXSS|https://requester.mturk.com/workers/A1CE3DR200PXSS|1|female|33|5|4
41|A1DDMH7ZRC2TA1|https://requester.mturk.com/workers/A1DDMH7ZRC2TA1|20|male|27|5|3
42|A1DNPYZKVJ05O9|https://requester.mturk.com/workers/A1DNPYZKVJ05O9|1|male|37|3|2
43|A1E2IYXE0GYPJO|https://requester.mturk.com/workers/A1E2IYXE0GYPJO|7|male|23|5|3
44|A1E3S8JFP08N1G|https://requester.mturk.com/workers/A1E3S8JFP08N1G|1|female|30|3|3
45|A1E9IO2W1ZN36|https://requester.mturk.com/workers/A1E9IO2W1ZN36|1|male|25|5|2
46|A1ET164AZEK2LI|https://requester.mturk.com/workers/A1ET164AZEK2LI|1|female|27|5|2
47|A1EWQ6YCM8CO0E|https://requester.mturk.com/workers/A1EWQ6YCM8CO0E|5|male|32|5|3
48|A1F4D2PZ7NNWTL|https://requester.mturk.com/workers/A1F4D2PZ7NNWTL|42|female|41|3|3
49|A1FFSBWDZ29K2Y|https://requester.mturk.com/workers/A1FFSBWDZ29K2Y|3|male|26|5|2
50|A1FKCYWMD3HCXU|https://requester.mturk.com/workers/A1FKCYWMD3HCXU|1|male|24|5|5
51|A1FZJ3S9CN8Z7T|https://requester.mturk.com/workers/A1FZJ3S9CN8Z7T|15|male|23|5|2
52|A1GGOZPHYU0OC0|https://requester.mturk.com/workers/A1GGOZPHYU0OC0|15|male|29|3|3
53|A1HBDQ0BJQBA4Q|https://requester.mturk.com/workers/A1HBDQ0BJQBA4Q|19|female|20|3|3
54|A1HPNJ1H0A32AC|https://requester.mturk.com/workers/A1HPNJ1H0A32AC|6|male|23|5|2
55|A1IAK1JCYVR3R5|https://requester.mturk.com/workers/A1IAK1JCYVR3R5|3|male|24|4|3
56|A1IFF4KV23FGHJ|https://requester.mturk.com/workers/A1IFF4KV23FGHJ|12|male|38|5|3
57|A1ITBXITLY2952|https://requester.mturk.com/workers/A1ITBXITLY2952|16|male|37|2|2
58|A1IV79FM6URE9F|https://requester.mturk.com/workers/A1IV79FM6URE9F|44|male|25|4|2
59|A1IYWH1HSWTQG1|https://requester.mturk.com/workers/A1IYWH1HSWTQG1|2|female|59|2|4
60|A1J98D0GPAKZN4|https://requester.mturk.com/workers/A1J98D0GPAKZN4|16|male|23|5|3
61|A1JRV4XD6CG12W|https://requester.mturk.com/workers/A1JRV4XD6CG12W|15|male|25|5|1
62|A1K9WP8Q74E9G2|https://requester.mturk.com/workers/A1K9WP8Q74E9G2|1|female|42|4|3
63|A1KPHP98XBKKXT|https://requester.mturk.com/workers/A1KPHP98XBKKXT|1|female|60|3|3
64|A1LD0QIDVO016U|https://requester.mturk.com/workers/A1LD0QIDVO016U|13|female|43|3|3
65|A1LSSXUBMH4P2O|https://requester.mturk.com/workers/A1LSSXUBMH4P2O|6|male|25|5|1
66|A1M0MJA7POFRWC|https://requester.mturk.com/workers/A1M0MJA7POFRWC|6|female|32|3|2
67|A1MHGD46DB5Z7H|https://requester.mturk.com/workers/A1MHGD46DB5Z7H|15|female|28|3|5
68|A1MKYMYY34DZIO|https://requester.mturk.com/workers/A1MKYMYY34DZIO|14|male|25|5|2
69|A1MYLC3OAJ2H0R|https://requester.mturk.com/workers/A1MYLC3OAJ2H0R|35|male|48|3|4
70|A1NYVI1F85FGCC|https://requester.mturk.com/workers/A1NYVI1F85FGCC|3|male|32|2|4
71|A1O0BGHFTMPQM0|https://requester.mturk.com/workers/A1O0BGHFTMPQM0|22|female|30|5|2
72|A1PH08O8L5DABA|https://requester.mturk.com/workers/A1PH08O8L5DABA|7|male|23|5|2
73|A1PNOIIYIW9NYA|https://requester.mturk.com/workers/A1PNOIIYIW9NYA|7|female|25|3|4
74|A1Q8L9UA8SAPIQ|https://requester.mturk.com/workers/A1Q8L9UA8SAPIQ|30|male|18|3|1
75|A1RDT8BS8A8S76|https://requester.mturk.com/workers/A1RDT8BS8A8S76|6|female|28|3|3
76|A1RF7T0DE51BKN|https://requester.mturk.com/workers/A1RF7T0DE51BKN|6|male|35|5|5
77|A1SFABJ4NX5DFY|https://requester.mturk.com/workers/A1SFABJ4NX5DFY|6|female|20|1|3
78|A1T2F28RSW49J|https://requester.mturk.com/workers/A1T2F28RSW49J|7|female|38|6|4
79|A1TFWB4P6PXA3M|https://requester.mturk.com/workers/A1TFWB4P6PXA3M|1|male|21|3|3
80|A1TVTNN0HU1MCK|https://requester.mturk.com/workers/A1TVTNN0HU1MCK|11|female|41|2|1
81|A1U3KTAUMV7QKT|https://requester.mturk.com/workers/A1U3KTAUMV7QKT|17|male|42|3|2
82|A1U89AVJKEXTVN|https://requester.mturk.com/workers/A1U89AVJKEXTVN|17|male|20|3|3
83|A1UPUSNKTC1HLW|https://requester.mturk.com/workers/A1UPUSNKTC1HLW|50|male|36|3|1
84|A1UW7VS5OATQF2|https://requester.mturk.com/workers/A1UW7VS5OATQF2|34|male|31|6|2
85|A1UWEUI98JOBRI|https://requester.mturk.com/workers/A1UWEUI98JOBRI|49|female|34|3|2
86|A1VKHE5L6QVFUV|https://requester.mturk.com/workers/A1VKHE5L6QVFUV|6|male|34|6|3
87|A1VKSXDK4QAEF9|https://requester.mturk.com/workers/A1VKSXDK4QAEF9|1|female|28|5|5
88|A1VUQT5BCJYCTV|https://requester.mturk.com/workers/A1VUQT5BCJYCTV|9|male|24|2|4
89|A1W36Q5THCHYUZ|https://requester.mturk.com/workers/A1W36Q5THCHYUZ|5|female|45|4|1
90|A1W7NEHKLKU0P|https://requester.mturk.com/workers/A1W7NEHKLKU0P|32|male|36|4|2
91|A1WJC9VETYJYHP|https://requester.mturk.com/workers/A1WJC9VETYJYHP|10|female|32|3|2
92|A1WP410YX2JBKI|https://requester.mturk.com/workers/A1WP410YX2JBKI|4|female|36|6|3
93|A1WUI06I74GZ0R|https://requester.mturk.com/workers/A1WUI06I74GZ0R|14|female|38|5|4
94|A1X258MWJFEMTW|https://requester.mturk.com/workers/A1X258MWJFEMTW|24|male|35|4|2
95|A1XIFPI36695GY|https://requester.mturk.com/workers/A1XIFPI36695GY|36|female|19|2|1
96|A1XLGIFFGB01EU|https://requester.mturk.com/workers/A1XLGIFFGB01EU|21|male|19|3|2
97|A1YELQZSXXRU67|https://requester.mturk.com/workers/A1YELQZSXXRU67|15|male|33|4|1
98|A1YGSYTOGXCQY7|https://requester.mturk.com/workers/A1YGSYTOGXCQY7|29|male|22|2|2
99|A1YRVRV46ZOVMP|https://requester.mturk.com/workers/A1YRVRV46ZOVMP|21|female|26|5|1
100|A1Z22XQTUPTAU9|https://requester.mturk.com/workers/A1Z22XQTUPTAU9|15|female|22|5|4
101|A1ZJKOXQ9VW1PH|https://requester.mturk.com/workers/A1ZJKOXQ9VW1PH|6|male|26|3|4
102|A1ZM09IY4FG9O4|https://requester.mturk.com/workers/A1ZM09IY4FG9O4|37|female|24|5|3
103|A1ZQ7A1CUV6RD8|https://requester.mturk.com/workers/A1ZQ7A1CUV6RD8|8|female|33|5|2
104|A208YGD0HZC8H0|https://requester.mturk.com/workers/A208YGD0HZC8H0|44|male|29|3|3
105|A21IFZJ0EDKM4E|https://requester.mturk.com/workers/A21IFZJ0EDKM4E|6|male|39|5|3
106|A21YQXPL0SNNR2|https://requester.mturk.com/workers/A21YQXPL0SNNR2|44|male|20|3|3
107|A231ZXYHPSNUJQ|https://requester.mturk.com/workers/A231ZXYHPSNUJQ|12|female|31|5|1
108|A233ONYNWKDIYF|https://requester.mturk.com/workers/A233ONYNWKDIYF|26|female|24|5|3
109|A23S6QOSZH9TMT|https://requester.mturk.com/workers/A23S6QOSZH9TMT|6|male|41|6|2
110|A24LUXW1DB1QI5|https://requester.mturk.com/workers/A24LUXW1DB1QI5|21|female|34|6|3
111|A24WNVISY6M620|https://requester.mturk.com/workers/A24WNVISY6M620|4|male|23|3|4
112|A254ISH2VOKFVD|https://requester.mturk.com/workers/A254ISH2VOKFVD|6|female|40|2|2
113|A263S59PIYRBDO|https://requester.mturk.com/workers/A263S59PIYRBDO|5|male|27|3|2
114|A26D4H8UHMF9DZ|https://requester.mturk.com/workers/A26D4H8UHMF9DZ|6|male|35|3|3
115|A27HVVLSZZ13XK|https://requester.mturk.com/workers/A27HVVLSZZ13XK|5|male|42|3|2
116|A27IABVBUZ9X8Z|https://requester.mturk.com/workers/A27IABVBUZ9X8Z|10|female|48|4|2
117|A27PBC5O3Z5ZED|https://requester.mturk.com/workers/A27PBC5O3Z5ZED|28|male|30|5|3
118|A27PJPWGD1QVJP|https://requester.mturk.com/workers/A27PJPWGD1QVJP|9|female|30|5|3
119|A28JXW5YZJDNK4|https://requester.mturk.com/workers/A28JXW5YZJDNK4|15|female|50|5|2
120|A29BFYDEYVMGR3|https://requester.mturk.com/workers/A29BFYDEYVMGR3|21|female|39|5|1
121|A29WHPBW1R07CT|https://requester.mturk.com/workers/A29WHPBW1R07CT|6|female|25|2|1
